Daily Date,Share Code,Year High (GH¢),Year Low (GH¢),Previous Closing Price - VWAP (GH¢),Opening Price (GH¢),Last Transaction Price (GH¢),Closing Price - VWAP (GH¢),Price Change (GH¢),Total Shares Traded,Total Value Traded (GH¢)
2025-03-24,MTNGH,3.2,2.5,3.17,3.17,3.12,3.12,-0.05,5525660.0,17248922.15
2025-03-25,MTNGH,3.2,2.5,3.12,3.12,3.13,3.05,-0.07,357856.0,1092429.14
2025-03-26,MTNGH,3.2,2.5,3.05,3.05,3.2,3.19,0.14,1501504.0,4791454.92
2025-03-27,MTNGH,3.2,2.5,3.19,3.19,3.2,3.2,0.01,411832.0,1317467.4
2025-03-28,MTNGH,3.2,2.5,3.2,3.2,3.19,3.19,-0.01,3207193.0,10246189.24
2025-04-02,MTNGH,3.2,2.5,3.19,3.19,3.02,3.02,-0.17,72691.0,219283.79
2025-04-03,MTNGH,3.2,2.5,3.02,3.02,3.1,3.04,0.02,107735.0,326569.7
2025-04-04,MTNGH,3.2,2.5,3.04,3.04,3.07,3.07,0.03,7729.0,23686.61
2025-04-07,MTNGH,3.2,2.5,3.07,3.07,3.07,3.07,0.0,203018.0,623295.26
2025-04-08,MTNGH,3.2,2.5,3.07,3.07,3.07,3.07,0.0,175754.0,539584.85
2025-04-09,MTNGH,3.2,2.5,3.07,3.07,3.07,3.07,0.0,67742.0,207955.74
2025-04-10,MTNGH,3.2,2.5,3.07,3.07,3.07,3.07,0.0,346659.0,1064139.1
2025-04-11,MTNGH,3.2,2.5,3.07,3.07,3.07,3.07,0.0,241956.0,742782.32
2025-04-14,MTNGH,3.2,2.5,3.07,3.07,3.0,3.0,-0.07,193475.0,580600.63
2025-04-15,MTNGH,3.2,2.5,3.0,3.0,3.0,3.0,0.0,641448.0,1924344.0
2025-04-16,MTNGH,3.2,2.5,3.0,3.0,3.0,3.0,0.0,298711.0,896133.0
2025-04-17,MTNGH,3.2,2.5,3.0,3.0,3.0,3.0,0.0,217541.0,652623.0
2025-04-22,MTNGH,3.2,2.5,3.0,3.0,3.0,3.0,0.0,1752747.0,5258241.0
